"","city","state","city_size","mode","n","percent","moe","state_abb","state_region"
"1792","Arlington Heights village","Illinois","Small","Walk",582,1.6,0.5,"IL","North Central"
"1793","Arnold city","Missouri","Small","Walk",93,0.9,0.6,"MO","North Central"
"1794","Arvin city","California","Small","Walk",88,1.3,0.9,"CA","West"
"1795","Asheboro city","North Carolina","Small","Walk",137,1.4,0.8,"NC","South"
"1796","Asheville city","North Carolina","Small","Walk",1500,3.7,0.9,"NC","South"
"1797","Ashland city","Kentucky","Small","Walk",444,5.5,1.7,"KY","South"
"1798","Ashland city","Ohio","Small","Walk",628,7.2,1.7,"OH","North Central"
"1799","Ashland city","Oregon","Small","Walk",880,9.8,2.1,"OR","West"
"1800","Atascadero city","California","Small","Walk",98,0.7,0.6,"CA","West"
"1801","Athens city","Alabama","Small","Walk",87,1,0.7,"AL","South"
"1802","Athens city","Ohio","Small","Walk",3461,36.8,5.4,"OH","North Central"
"1803","Atlantic City city","New Jersey","Small","Walk",2701,17.8,2.7,"NJ","Northeast"
"1804","Attleboro city","Massachusetts","Small","Walk",535,2.4,0.9,"MA","Northeast"
"1805","Atwater city","California","Small","Walk",103,1.1,0.6,"CA","West"
"1806","Auburn city","Alabama","Small","Walk",1367,5.7,1.1,"AL","South"
"1807","Auburn city","Maine","Small","Walk",392,3.4,1.1,"ME","Northeast"
"1808","Auburn city","New York","Small","Walk",627,5.2,1.4,"NY","Northeast"
"1809","Auburn city","Washington","Small","Walk",646,2,0.5,"WA","West"
"1810","Auburn Hills city","Michigan","Small","Walk",341,3.1,1.4,"MI","North Central"
"1811","Austin city","Minnesota","Small","Walk",594,5.2,1.5,"MN","North Central"
"1812","Aventura city","Florida","Small","Walk",148,1.1,0.8,"FL","South"
"1813","Avon city","Ohio","Small","Walk",47,0.5,0.5,"OH","North Central"
"1814","Avon Lake city","Ohio","Small","Walk",58,0.6,0.4,"OH","North Central"
"1815","Avondale city","Arizona","Small","Walk",391,1.2,0.7,"AZ","West"
"1816","Azusa city","California","Small","Walk",1340,6.4,1.7,"CA","West"
"1817","Bainbridge Island city","Washington","Small","Walk",621,6.1,1.8,"WA","West"
"1818","Balch Springs city","Texas","Small","Walk",73,0.8,0.6,"TX","South"
"1819","Baldwin Park city","California","Small","Walk",561,1.8,0.5,"CA","West"
"1820","Ballwin city","Missouri","Small","Walk",302,1.9,0.8,"MO","North Central"
"1821","Bangor city","Maine","Small","Walk",959,5.9,1.5,"ME","Northeast"
"1822","Banning city","California","Small","Walk",101,1.1,0.8,"CA","West"
"1823","Barberton city","Ohio","Small","Walk",237,2,0.9,"OH","North Central"
"1824","Barnstable Town city","Massachusetts","Small","Walk",509,2.3,0.8,"MA","Northeast"
"1825","Barstow city","California","Small","Walk",644,7.5,3.4,"CA","West"
"1826","Bartlesville city","Oklahoma","Small","Walk",349,2.2,0.7,"OK","South"
"1827","Bartlett city","Tennessee","Small","Walk",91,0.3,0.2,"TN","South"
"1828","Bartlett village","Illinois","Small","Walk",159,0.7,0.6,"IL","North Central"
"1829","Batavia city","Illinois","Small","Walk",154,1.2,0.7,"IL","North Central"
"1830","Battle Creek city","Michigan","Small","Walk",802,3.9,0.9,"MI","North Central"
"1831","Bay City city","Michigan","Small","Walk",362,2.6,1,"MI","North Central"
"1832","Bayonne city","New Jersey","Small","Walk",2626,8.7,1.3,"NJ","Northeast"
"1833","Baytown city","Texas","Small","Walk",419,1.5,0.6,"TX","South"
"1834","Beaumont city","California","Small","Walk",106,0.7,0.5,"CA","West"
"1835","Beavercreek city","Ohio","Small","Walk",300,1.3,0.6,"OH","North Central"
"1836","Beaverton city","Oregon","Small","Walk",2370,5.3,1.2,"OR","West"
"1837","Bedford city","Texas","Small","Walk",323,1.2,0.7,"TX","South"
"1838","Bell city","California","Small","Walk",502,3.8,1.4,"CA","West"
